iter,time,reward,steps,convergence
1,0.027429548999998943,-1827.9,193.58,77.4
2,0.05964931200000123,-1.6,12.16,96.53351137561378
3,0.08146572500000104,0.1,11.99,61.13174063131983
4,0.10555114300000312,1.9,11.81,6.779308687666926
5,0.12285423800000217,2.2,11.78,13.847567088976461
6,0.13956076100000203,-12.0,17.14,7.328303617489787
7,0.15768465300000045,-18.17,16.04,0.15900398856900821
8,0.17269379100000037,-13.82,17.16,0.04787780309068168
9,0.1951360219999998,1.4,11.86,0.014416587004415504
10,0.20983623200000068,-20.15,22.03,0.004341009141089813
11,0.21683723499999985,-10.36,17.03,0.0013071304849923138
12,0.22681944999999715,-7.42,16.79,0.0008087424524241271
13,0.2288521979999949,-3.5,12.35,0.0007172706576810128
14,0.23097893899999633,-7.63,16.73,0.0006361446648881497
15,0.2329327269999979,2.2,11.78,0.0005641943251504244
16,0.23441671199999803,-18.93,17.77,0.000500381837813535
17,0.23613026299999973,-4.3,12.43,0.0004437867813535945
18,0.23717482300000015,-0.9,12.09,0.0003935928373479669
19,0.23816291199999995,-18.03,21.89,0.00034907601605027594
20,0.23951160700000074,-12.5,17.37,0.00030959421366816287
21,0.24172872400000145,-4.77,16.48,0.0002745779507300483
22,0.24273892400000108,0.6,11.94,0.0002435221580299185
23,0.24443242899999973,-31.21,19.25,0.00021597889158186945
24,0.24636441999999903,-24.89,19.5,0.00019155087154132389
25,0.24838698299999962,-6.23,16.59,0.00016988575188392474
26,0.2500992050000015,-29.5,22.83,0.00015067103825217032
27,0.2513930980000012,-9.24,16.9,0.00013362958056362118
28,0.2524110020000023,-9.93,16.87,0.00011851557544773073
29,0.25345686900000075,-7.8,16.72,0.00010511102080812407
30,0.25471660100000193,1.1,11.89,9.322257141519685e-05
31,0.257275970000002,-2.5,12.25,8.2678750093379e-05
32,0.2588581400000045,-6.7,12.67,7.332747436450404e-05
33,0.26035903800000426,-18.34,16.39,6.503386289224977e-05
34,0.2616289360000046,-0.2,12.02,5.7678289881124556e-05
35,0.2629265050000029,-0.7,12.07,5.115465967264754e-05
36,0.26638269000000037,-2.74,16.34,4.536887642814236e-05
37,0.2680959449999989,-0.8,12.08,4.023748689974127e-05
38,0.2696362189999988,-13.64,21.37,3.5686476714147375e-05
39,0.2710233109999969,-11.8,17.12,3.165020278217412e-05
40,0.2727857349999958,-9.78,16.9,2.8070446536077043e-05
41,0.2737864119999962,0.0,12.0,2.48955740929091e-05
42,0.27484761199999497,-5.3,12.53,2.2079791591522735e-05
43,0.2785691199999931,0.6,11.94,1.9582484618752005e-05
44,0.2797961139999927,1.7,11.83,1.7367632402454092e-05
45,0.2815469239999935,-25.15,16.36,1.540328825555548e-05
46,0.28306554599999245,0.9,11.91,1.3661118764218827e-05
47,0.2907922329999941,-16.51,17.06,1.2115995161821047e-05
48,0.29178808199999295,-16.0,15.22,1.074563081715496e-05
49,0.2953213779999935,-10.91,17.04,9.530259802659202e-06
50,0.29913124499999455,-0.1,12.01,8.452351789145496e-06
51,0.30044432499999374,0.7,11.93,7.496359209824277e-06
52,0.301633903999992,-6.02,16.65,6.6484929526211545e-06
53,0.3032973039999902,-2.4,12.24,5.8965235503194435e-06
54,0.3044299009999918,-1.5,12.15,5.229604688850031e-06
55,0.30583029499998915,-1.0,12.1,4.638116848809659e-06
56,0.30686978799998954,-3.5,12.35,4.1135284973847774e-06
57,0.3079016429999868,-0.4,12.04,3.648273043665995e-06
58,0.3091020059999856,-2.8,12.28,3.235639724152861e-06
59,0.31054139899998745,-35.18,26.17,2.8696767806479784e-06
60,0.311596038999987,1.1,11.89,2.5451056053782395e-06
61,0.3144933439999882,-1.0,12.1,2.257244645420542e-06
62,0.31798980899998597,-1.3,12.13,2.001941837193044e-06
63,0.32262114399998865,-19.41,21.83,1.7755147361242507e-06
64,0.32442978699998903,0.6,11.94,1.574697378714518e-06
65,0.32633678399999155,3.1,11.69,1.3965932197379516e-06
66,0.32760947599999213,2.7,11.73,1.2386333061442656e-06
67,0.3290073559999911,2.5,11.75,1.0985392471241084e-06
68,0.33021040699999205,-10.5,14.67,9.742903479548204e-07
