iter,time,reward,steps,convergence
1,0.006716394,-945.95,97.74,77.4
2,0.016552507999999966,-739.37,89.31,53.89200000000001
3,0.018968470999999987,-238.16,94.08,17.29789919999999
4,0.021577048000000154,-212.6,88.44,10.858644929664
5,0.024384642000000234,-24.09,21.65,8.627183433307337
6,0.027078862000000203,-38.46,21.3,7.354002676456375
7,0.028981107999999978,-14.26,19.51,6.2677507637502
8,0.03764356499999977,-18.61,20.6,5.343489430149475
9,0.04228236499999971,-5.46,16.01,4.557300456028415
10,0.04549048999999972,-6.77,17.37,3.888419072555237
11,0.047119143999999835,-26.25,19.82,3.3191588711193276
12,0.053105948999999875,-11.98,19.39,2.8345112114852498
13,0.055936631999999875,-2.69,15.06,2.421747055835553
14,0.057810281000000074,-2.66,13.63,2.070069996761873
15,0.059853469000000104,-3.0,12.3,1.7703210177095912
16,0.06266913799999996,1.27,12.6,1.5147283779896554
17,0.06453447200000006,1.9,11.81,1.296695871876267
18,0.06712019400000013,4.6,12.15,1.110622164533055
19,0.06954908599999987,-7.51,12.04,0.44223263347078046
20,0.07098674299999974,1.1,11.89,0.25646277000068096
21,0.0724026289999995,-1.9,12.89,0.21454283366411886
22,0.07659889999999914,-1.53,12.79,0.19031530756735293
23,0.07842825399999942,0.28,12.69,0.16880266882368034
24,0.07982907099999936,-0.4,12.04,0.14971442202628893
25,0.0814714659999991,-2.64,13.0,0.13278234388280907
26,0.08491635799999919,-1.2,12.12,0.11776450723382936
27,0.08809018599999918,-2.24,13.57,0.10444499870774138
28,0.0913539909999983,0.3,11.97,0.09263190625246054
29,0.0942367279999976,0.61,12.63,0.08215489896465655
30,0.09632970499999782,-1.6,12.16,0.07286287486499177
31,0.09801925599999795,-1.8,12.18,0.06462181190638461
32,0.09949156699999762,-6.01,14.01,0.05731284355803723
33,0.10094733899999753,-6.06,13.27,0.050830546738815485
34,0.10410514699999762,0.2,11.98,0.04508142189166264
35,0.10596827599999781,1.5,11.85,0.039982544548468724
36,0.10839990699999724,-16.58,14.34,0.035460369291879346
37,0.11060254499999722,-3.5,12.35,0.031449668961677446
38,0.11274553299999734,3.6,11.64,0.02789259383208531
39,0.11722073299999725,-1.4,12.14,0.024737837197214674
40,0.11915507499999745,-8.09,14.2,0.021939895331342996
41,0.12081286099999744,-1.06,12.77,0.019458411150210964
42,0.12220080899999708,1.87,12.54,0.017257592106627584
43,0.1250626629999969,-1.97,12.87,0.015305693924322128
44,0.12688589799999672,0.65,12.59,0.013574562723334793
45,0.1287943039999968,-0.8,12.08,0.012039228932756885
46,0.1309791109999967,-1.0,12.1,0.010677547133525422
47,0.1324553509999964,5.1,11.49,0.009469876636238439
48,0.1432502129999964,-1.27,12.8,0.00839879818689937
49,0.14568731199999618,1.24,12.54,0.007448862714252158
50,0.14835119199999625,-2.0,12.2,0.006606368494761483
51,0.15584884499999685,4.3,11.57,0.005859163521037658
52,0.1584870239999967,-1.0,12.1,0.005196470223161498
53,0.16333889399999624,-0.96,12.76,0.004608730014663109
54,0.16472719599999675,-4.43,13.08,0.004087465420926861
55,0.17074635899999713,-5.48,13.23,0.003625157801412371
56,0.1725672819999966,-0.5,12.05,0.003215138901939696
57,0.17927680199999685,-3.74,13.72,0.0028514946727860035
58,0.18195480799999686,-0.43,13.38,0.0025289799653940293
59,0.1884169589999969,-0.2,12.02,0.0022429428770749382
60,0.19446081699999684,-3.8,13.08,0.0019892576527595907
61,0.19884245699999603,-2.96,12.96,0.001764265175676627
62,0.20306620699999645,-0.3,12.73,0.0015647201888491225
63,0.2057485429999959,1.0,11.9,0.0013877444860099786
64,0.20773161399999562,-6.95,13.26,0.0012307853967605809
65,0.20915472799999613,-2.15,13.57,0.0010915789672694132
66,0.2105981609999965,5.2,11.48,0.0009681173053586178
67,0.2148950629999966,-2.67,12.94,0.000858619618956169
68,0.21963262599999656,-4.44,13.7,0.0007615065302246649
69,0.22102672399999612,-2.49,12.94,0.0006753772948719927
70,0.22275622799999617,4.1,11.59,0.0005989895980214044
71,0.2266376339999958,-0.28,12.71,0.0005312416352509786
72,0.22860731699999537,-0.7,12.07,0.00047115622032833926
73,0.23112085499999502,-0.8,13.48,0.0004178666904621764
74,0.23262576599999552,1.3,11.87,0.0003706044056350777
75,0.23533155899999514,-2.95,12.86,0.0003286876619092993
76,0.23776067299999504,1.7,11.83,0.000291511858595328
77,0.23962878399999443,2.4,11.76,0.00025854077761167105
78,0.241085980999995,-4.7,12.47,0.00022929884914546506
79,0.2528475259999947,-0.6,12.06,0.0002033642921048795
80,0.25709945899999465,-0.2,12.02,0.0001803630304166859
81,0.2591032219999949,-3.02,13.02,0.00015996329741696513
82,0.26096931799999457,-2.1,12.21,0.0001418708504807853
83,0.26277074599999484,-0.6,12.06,0.0001258247269255719
84,0.2649512849999951,-1.76,12.84,0.00011159347993228153
85,0.26633405199999505,-7.71,13.39,9.897184018115013e-05
86,0.26920749799999566,-2.7,12.27,8.777775506274565e-05
87,0.2710107529999961,-2.2,12.22,7.784976281399736e-05
88,0.2727535369999954,-3.23,13.05,6.904466361490336e-05
89,0.2743750199999946,-2.42,12.96,6.123545404435049e-05
90,0.2757395889999934,-2.7,12.27,5.4309495272519825e-05
91,0.2771181209999929,-2.7,12.27,4.8166888326761637e-05
92,0.2787301019999937,2.6,11.74,4.271903319619241e-05
93,0.28072913899999286,-4.28,13.11,3.788735083887218e-05
94,0.28628174499999304,-3.27,13.0,3.36021498235084e-05
95,0.29157439099999394,-1.97,12.87,2.9801621060698835e-05
96,0.29417839099999377,-7.05,13.36,2.6430946309830006e-05
97,0.3218783509999934,-4.37,13.11,2.3441507476462675e-05
98,0.32560553799999425,-2.8,12.28,2.0790185345731516e-05
99,0.34287603299999425,-5.45,14.35,1.8438737662052063e-05
100,0.34608587599999474,3.0,11.7,1.6353247502820523e-05
101,0.34829465799999326,-5.05,13.25,1.4503634073292915e-05
102,0.3498407279999931,-2.99,12.99,1.2863218849190616e-05
103,0.3512270139999938,-2.09,12.99,1.1408340700569397e-05
